event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs,forms_list,has_to_t,has_to_i,has_14d9,has_file_num,mvp_event_type_provisional,in_mvp_core,in_mvp_preferred,in_mvp_stretch,amendment_eval_band
005-83967,31,18,14,4,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,"['REGIONAL HEALTH PROPERTIES, INC']","REGIONAL HEALTH PROPERTIES, INC",['0001004724' '0002077187'],0001004724,['RHE' 'RHE-PA' 'RHEP' 'RHEPA' 'RHEPB' 'RHEPZ'],2022-02-11,2025-08-25,1291,13,18,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-84055,23,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Radius Health, Inc.']","Radius Health, Inc.",['0001428522' '0001936610'],0001428522,[],2022-07-13,2022-08-11,29,13,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-84211,53,14,12,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Warner Bros. Discovery, Inc.']","Warner Bros. Discovery, Inc.",['0001437107' '0002041610'],0001437107,['WBD'],2025-12-08,2025-12-23,15,39,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-85255,24,13,11,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ROSETTA STONE INC'],ROSETTA STONE INC,['0001351285' '0001824529'],0001351285,[],2020-09-15,2020-10-15,30,11,13,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-85510,25,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['GenMark Diagnostics, Inc.']","GenMark Diagnostics, Inc.",['0000904566' '0001487371'],0000904566,[],2021-03-25,2021-04-22,28,17,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-85695,29,13,11,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['CoreSite Realty Corp'],CoreSite Realty Corp,['0001053507' '0001490892'],0001053507,[],2021-11-29,2021-12-28,29,16,13,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-85761,21,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Howard Hughes Corp'],Howard Hughes Corp,['0001313682' '0001498828'],0001313682,[],2022-10-14,2022-12-01,48,15,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-85782,13,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Primo Water Corp'],Primo Water Corp,['0000884713' '0001365101'],0000884713,[],2020-01-28,2020-03-02,34,5,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-85795,35,12,10,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['ZOGENIX, INC.']","ZOGENIX, INC.",['0001290640' '0001375151'],0001290640,[],2022-02-01,2022-03-07,34,23,12,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-86020,61,23,20,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,['Performance Shipping Inc.'],Performance Shipping Inc.,['0001481241' '0001990966'],0001481241,['PSHG'],2021-12-21,2025-07-31,1318,38,23,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
